enabled,source_type,source_name,source_url,state,city,include_keywords,exclude_keywords
true,external_sitemap,External Listing Sitemap Discovery,external:primary-sitemap,All India,All India,assistant professor|associate professor|professor|lecturer|faculty|computer science|cse|information technology|mca|bca|engineering|polytechnic,result|admit card|answer key|syllabus|question paper|interview schedule|merit list
true,external_category,External Listing Latest Posts,external:latest-category,All India,All India,assistant professor|associate professor|professor|lecturer|faculty|computer science|cse|information technology|mca|bca|engineering|polytechnic,result|admit card|answer key|syllabus|question paper|interview schedule|merit list
true,search_query,All India Assistant Professor CSE Search,search: assistant professor CSE recruitment 2026 apply email last date India,All India,All India,assistant professor|faculty|lecturer|computer science|cse|information technology|mca|bca|data science|artificial intelligence,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule|question paper
true,search_query,All India Computer Science Faculty Search,search: computer science faculty recruitment India 2026 last date email apply,All India,All India,faculty|assistant professor|lecturer|computer science|cse|information technology|mca|bca,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,Official AC IN CSE Faculty Search,search: site:.ac.in assistant professor computer science recruitment last date email apply 2026,All India,All India,assistant professor|faculty|lecturer|computer science|cse|information technology|mca|bca,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,Official EDU IN CSE Faculty Search,search: site:.edu.in assistant professor computer science recruitment last date email apply 2026,All India,All India,assistant professor|faculty|lecturer|computer science|cse|information technology|mca|bca,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,Engineering College Faculty Vacancy Search,search: engineering college faculty vacancy computer science CSE lecturer assistant professor India apply email,All India,All India,faculty|assistant professor|lecturer|computer science|cse|information technology|mca|bca|engineering college,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,MCA BCA Faculty Recruitment Search,search: MCA BCA faculty recruitment assistant professor computer applications India email last date,All India,All India,faculty|assistant professor|lecturer|mca|bca|computer applications|computer science,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,AI Data Science Faculty Recruitment Search,search: artificial intelligence data science faculty recruitment assistant professor India computer science,All India,All India,faculty|assistant professor|lecturer|data science|artificial intelligence|ai|computer science|cse,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,Private University Faculty Recruitment Search,search: private university faculty recruitment computer science assistant professor India careers last date,All India,All India,faculty|assistant professor|lecturer|computer science|cse|information technology|mca|bca|university,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,Rajasthan CSE Faculty Search,search: Rajasthan assistant professor computer science faculty recruitment CSE MCA last date apply,Rajasthan,Rajasthan,faculty|assistant professor|lecturer|computer science|cse|mca|bca|computer applications|rajasthan,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
true,search_query,Delhi NCR CSE Faculty Search,search: Delhi NCR Noida Ghaziabad Greater Noida assistant professor CSE faculty recruitment computer science,Delhi NCR,Delhi NCR,faculty|assistant professor|lecturer|computer science|cse|information technology|mca|bca|noida|delhi|ghaziabad,result|admit card|answer key|syllabus|old|archive|merit list|interview schedule
false,official_page,National Career Service,https://www.ncs.gov.in/,All India,All India,assistant professor|lecturer|faculty|computer science|information technology|cse|mca|bca,result|admit card|answer key|syllabus|old|archive
false,official_page,Rajasthan Recruitment Portal,https://recruitment.rajasthan.gov.in/,Rajasthan,Rajasthan,assistant professor|lecturer|faculty|computer science|computer applications|cse|mca,result|admit card|answer key|syllabus|old|archive
